Reservoir,Site,lat,lon,distance_m,notes,measurement_notes
BVR,1,37.314783,-79.820864,618,distance from B100,all distances calculated using ArcGIS Pro and transcribed into this document
BVR,100,37.31957,-79.82437,0,,
BVR,20,37.3170135,-79.8226419,326,distance from B100,
BVR,200,37.322851,-79.81721,0,,
BVR,30,37.31921,-79.818226,414,distance from B200,
BVR,45,37.314465,-79.818717,812,distance from B100,
BVR,50,37.31288,-79.81593,1117,distance from B100,
FCR,1,37.30247,-79.83692,726,distance from F99,
FCR,100,37.30858,-79.83494,1500,distance from B01,
FCR,101,37.309653,-79.830467,1076,distance from B01,
FCR,102,37.311678,-79.827357,696,distance from B01,
FCR,20,37.30769,-79.8371,96,distance from F99,
FCR,200,37.30943,-79.83619,0,,
FCR,30,37.30534,-79.83825,370,distance from F99,
FCR,45,37.30418,-79.83833,506,distance from F99,
FCR,50,37.30325,-79.83726,642,distance from F99,
FCR,99,37.307613,-79.8360878,1656,distance from B01,
